Mois,Région,Production éolienne (GWh),Production solaire (GWh)
2016-10,Bretagne,95.095347,21.544553
2016-10,Auvergne-Rhône-Alpes,64.507412,71.995495
2016-11,Hauts-de-France,533.677434,6.122325
2016-11,Nouvelle-Aquitaine,113.888476,109.982788
2016-11,Auvergne-Rhône-Alpes,84.493802,33.021683
2016-12,Île-de-France,2.891723,2.083556
2016-12,Bretagne,106.152348,6.253133
2017-01,Île-de-France,5.146914,2.019673
2017-01,Hauts-de-France,421.572065,3.857183
2017-01,Auvergne-Rhône-Alpes,88.241436,30.965511
2017-02,Grand Est,598.94503,20.768038
2017-02,Pays de la Loire,154.472813,20.935974
2017-02,Provence-Alpes-Côte d'Azur,10.184633,69.924202
2017-03,Île-de-France,9.908314,5.424804
2017-05,Bourgogne-Franche-Comté,74.820817,29.972214
2017-06,Occitanie,171.402573,243.41923
2017-07,Île-de-France,6.627431,9.482203
2017-07,Normandie,85.399555,16.278611
2017-07,Pays de la Loire,100.290795,56.237541
2017-07,Occitanie,264.709012,241.371194
2017-08,Île-de-France,5.415824,8.763385
2017-08,Hauts-de-France,284.495524,15.014832
2017-08,Pays de la Loire,74.585572,56.89524
2017-08,Occitanie,200.23342,229.557056
2017-08,Auvergne-Rhône-Alpes,55.204342,105.167313
2017-09,Bourgogne-Franche-Comté,71.798081,21.110642
2017-10,Centre-Val de Loire,139.72713,20.676127
2017-10,Grand Est,482.442085,34.544866
2017-10,Corse,0.914986,15.7713
2017-11,Hauts-de-France,521.647355,4.998764
2017-11,Grand Est,538.258284,14.256529
2017-11,Auvergne-Rhône-Alpes,111.263715,37.98025
2017-12,Bourgogne-Franche-Comté,160.158102,4.523167
2017-12,Provence-Alpes-Côte d'Azur,12.370602,59.800258
2017-12,Corse,2.224994,7.604239
2018-01,Pays de la Loire,235.29783,9.189969
2018-01,Corse,1.601345,8.870183
2018-02,Nouvelle-Aquitaine,176.520906,147.110121
